t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0.0500008
"352,734p",0.175003
"529,101p",0.125002
"705,467p",0.225003
"881,834p",0.0750012
"1,0582n",0.125002
"1,23457n",0.200003
"1,41093n",0.175003
"1,5873n",0.200003
"1,76367n",0.300005
"1,94004n",0.500008
"2,1164n",0.425007
"2,29277n",0.65001
"2,46914n",0.62501
"2,6455n",1.15002
"2,82187n",1.45002
"2,99824n",2.02503
"3,1746n",3.12505
"3,35097n",5.22508
"3,52734n",7.50012
"3,7037n",11.7502
"3,88007n",18.0003
"4,05644n",25.3004
"4,2328n",25.6504
"4,40917n",24.1754
"4,58554n",16.6253
"4,7619n",9.82515
"4,93827n",4.55007
"5,11464n",2.30004
"5,29101n",1.02502
"5,46737n",0.575009
"5,64374n",0.325005
"5,82011n",0.200003
"5,99647n",0.0750012
"6,17284n",0.0500008
"6,34921n",0.200003
"6,52557n",0.125002
"6,70194n",0.150002
"6,87831n",0.0750012
"7,05467n",0.175003
"7,23104n",0.175003
"7,40741n",0.100002
"7,58377n",0.0500008
"7,76014n",0.100002
"7,93651n",0.150002
"8,11287n",0.100002
"8,28924n",0.0750012
"8,46561n",0.100002
"8,64198n",0.0750012
"8,81834n",0.100002
"8,99471n",0.0750012
"9,17108n",0.0750012
"9,34744n",0.150002
"9,52381n",0.0500008
"9,70018n",0.150002
"9,87654n",0.100002
